WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,T_AVG,IS_RAINIY,IS_FROST
3.67,0.0,0.0,0.0,0.7360594795539034,0.0,0.46440677966101696,0.48675496688741715,0.9251336898395724,0.0,0.0
5.17,0.0,0.0,0.0,0.7397769516728625,0.0,0.6101694915254238,0.5231788079470198,0.700534759358289,0.0,0.0
5.21,0.0,0.0029850746268656717,0.0,0.8252788104089221,0.0,0.5627118644067797,0.4801324503311258,0.898395721925134,1.0,0.0
10.04,0.0,0.0208955223880597,0.0,0.587360594795539,0.0,0.735593220338983,0.6953642384105959,0.2834224598930482,1.0,0.0
5.91,0.0,0.0,0.0,0.550185873605948,0.0,0.6949152542372882,0.7582781456953641,0.29411764705882354,0.0,0.0
8.38,0.0,0.0,0.0,0.49070631970260226,0.0,0.688135593220339,0.629139072847682,0.21925133689839577,0.0,0.0
5.83,0.0,0.0,0.0,0.5018587360594796,0.0,0.4915254237288136,0.4635761589403973,0.5454545454545456,0.0,1.0
5.04,0.0,0.0,0.0,0.47583643122676583,0.0,0.535593220338983,0.43708609271523174,0.4385026737967915,0.0,1.0
6.83,0.0,0.0,0.0,0.5464684014869888,0.0,0.5593220338983051,0.4933774834437085,0.502673796791444,0.0,0.0
4.71,0.0,0.0,0.0,0.550185873605948,0.0,0.6949152542372882,0.7152317880794701,0.29411764705882354,0.0,0.0
3.17,0.0,0.0,0.0,0.5687732342007435,0.0,0.5050847457627119,0.4536423841059602,0.6203208556149734,0.0,1.0
2.42,0.0,0.0,0.0,0.5390334572490707,0.0,0.6000000000000001,0.5132450331125827,0.42780748663101614,0.0,0.0
3.13,0.0,0.0,0.0,0.5427509293680298,0.0,0.7084745762711865,0.7649006622516554,0.2620320855614974,0.0,0.0
4.0,0.0,0.0029850746268656717,0.0,0.5464684014869888,0.0,0.7423728813559323,0.8079470198675496,0.21390374331550807,1.0,0.0
6.79,0.0,0.023880597014925373,0.0,0.47583643122676583,0.0,0.6644067796610169,0.7549668874172184,0.2352941176470589,1.0,0.0
9.33,0.0,0.0,0.0,0.3977695167286246,0.0,0.5457627118644068,0.5496688741721854,0.3101604278074867,0.0,0.0
4.92,0.0,0.0,0.0,0.46840148698884765,0.0,0.49830508474576274,0.43708609271523174,0.4866310160427809,0.0,1.0
5.41,0.0,0.0,0.0,0.5241635687732342,0.0,0.42372881355932207,0.3841059602649006,0.6844919786096259,0.0,1.0
11.71,0.0,0.026865671641791045,0.0,0.49814126394052055,0.0,0.7016949152542373,0.7251655629139072,0.2085561497326205,1.0,0.0
5.83,0.0,0.0,0.0,0.5315985130111525,0.0,0.728813559322034,0.7450331125827814,0.21390374331550807,0.0,0.0
6.58,0.0,0.0,0.0,0.6356877323420075,0.0,0.6542372881355932,0.586092715231788,0.48128342245989314,0.0,0.0
9.75,0.0,0.0,0.0,0.6356877323420075,0.0,0.5593220338983051,0.5827814569536423,0.6310160427807489,0.0,0.0
7.92,0.0,0.0,0.0,0.6654275092936803,0.0,0.7457627118644068,0.8112582781456952,0.37967914438502687,0.0,0.0
10.41,0.0,0.0,0.0,0.6988847583643123,0.0,0.7864406779661017,0.8344370860927152,0.3636363636363637,0.0,0.0
6.21,0.0,0.0,0.0,0.7769516728624537,0.0,0.7728813559322034,0.824503311258278,0.4973262032085563,0.0,0.0
3.42,0.0,0.14029850746268657,0.5,0.6356877323420075,0.0,0.8203389830508474,0.8642384105960264,0.21925133689839585,1.0,0.0
4.21,0.0,0.004477611940298507,0.0,0.6245353159851301,0.0,0.7796610169491526,0.8278145695364237,0.26737967914438504,1.0,0.0
8.17,0.0,0.07164179104477611,0.0,0.6617100371747212,0.0,0.688135593220339,0.6953642384105959,0.46524064171123,1.0,0.0
9.54,0.0,0.01044776119402985,0.0,0.5799256505576209,0.0,0.6474576271186441,0.6788079470198675,0.4117647058823531,1.0,0.0
8.29,0.0,0.026865671641791045,0.0,0.6431226765799256,0.0,0.5966101694915255,0.6225165562913907,0.5828877005347595,1.0,0.0
9.71,0.0,0.023880597014925373,0.0,0.587360594795539,0.0,0.7423728813559323,0.7947019867549667,0.2727272727272727,1.0,0.0
6.25,0.0,0.05373134328358209,0.0,0.6208178438661711,0.0,0.6949152542372882,0.7549668874172184,0.39572192513369003,1.0,0.0
9.17,0.0,0.014925373134328358,0.0,0.5092936802973979,0.0,0.7457627118644068,0.7748344370860927,0.15508021390374335,1.0,0.0
4.67,0.0,0.0029850746268656717,0.0,0.6728624535315986,0.0,0.6000000000000001,0.5827814569536423,0.6203208556149734,1.0,0.0
5.66,0.0,0.017910447761194027,0.0,0.7026022304832714,0.0,0.6067796610169491,0.5496688741721854,0.6524064171122996,1.0,0.0
8.25,0.0,0.0014925373134328358,0.0,0.7026022304832714,0.0,0.8338983050847457,0.8211920529801324,0.29411764705882365,1.0,0.0
10.54,0.0,0.0029850746268656717,0.0,0.7323420074349443,0.0,0.6508474576271186,0.6324503311258277,0.6256684491978612,1.0,0.0
12.96,0.0,0.011940298507462687,0.0,0.7472118959107807,0.0,0.8983050847457628,0.9536423841059601,0.2566844919786097,1.0,0.0
13.7,0.0,0.0,0.0,0.6579925650557622,0.0,0.711864406779661,0.7152317880794701,0.42245989304812853,0.0,0.0
10.37,0.0,0.0,0.0,0.6468401486988848,0.0,0.6847457627118644,0.6887417218543046,0.44919786096256703,0.0,0.0
7.92,0.0,0.0,0.0,0.6208178438661711,0.0,0.6847457627118644,0.7649006622516554,0.41176470588235314,0.0,0.0
